Organism Name, Actual Organism Name, Genbank File, Optimal Growth Temperature, Doubling Time
Acaryochloris marina,Acaryochloris marina MBIC11017,GCA_000018105,25,45
Acidovorax avenae,Acidovorax avenae subsp. avenae ATCC 19860,GCA_000176855,28,11
Acinetobacter ADP1,Acinetobacter sp. ADP1,GCA_000046845,30,0.5
Actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae serovar 5b str. L20,GCA_000015885,37,0.75
Aeromonas hydrophila,Aeromonas hydrophila subsp. hydrophila ATCC 7966,GCA_000014805,28,0.35
Aeropyrum pernix,Aeropyrum pernix K1,GCA_000011125,95,4
Agrobacterium tumefaciens C58,Agrobacterium tumefaciens LBA4213 (Ach5),GCA_000576515,26,3
Alcanivorax borkumensis,Alcanivorax borkumensis SK2,GCA_000009365,28,10
Anabaena variabilis,Anabaena variabilis ATCC 29413,GCA_000204075,20,8
Anaeromyxobacter dehalogenans,Anaeromyxobacter dehalogenans 2CP-C,GCA_000013385,30,9.2
Anaplasma marginale,Anaplasma marginale str. St. Maries,GCA_000011945,37,21.6
Anaplasma phagocytophilum,Anaplasma phagocytophilum str. HZ,GCA_000013125,37,7
Aquifex aeolicus,Aquifex aeolicus VF5,GCA_000008625,95,1.8
Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304,GCA_000008665,85,4
Arcobacter butzleri,Arcobacter butzleri RM4018,GCA_000014025,37,0.66
Arthrobacter aurescens,Arthrobacter aurescens TC1,GCA_000014925,30,2
Azoarcus sp EbN1,Aromatoleum aromaticum EbN1,GCA_000025965,28,4.3
Bacillus anthracis Ames,Bacillus anthracis str. Ames,GCA_000007845,37,0.5
Bacillus cereus ATCC 14579,Bacillus cereus ATCC 14579,GCA_000007825,30,0.3
Bacillus halodurans,Bacillus halodurans C-125,GCA_000011145,30,0.6
Bacillus licheniformis ATCC14580,Bacillus licheniformis DSM 13 = ATCC 14580,GCA_000011645,37,0.58
Bacillus subtilis 168,Bacillus subtilis subsp. subtilis str. 168,GCA_000789275,37,0.43
Bacillus thuringiensis konkukian 97-27,Bacillus thuringiensis serovar konkukian str. 97-27,GCA_000008505,30,0.42
Bacteroides fragilis,Bacteroides fragilis YCH46,GCA_000009925,37,0.63
Bacteroides thetaiotaomicron VPI5482,Bacteroides thetaiotaomicron VPI-5482,GCA_000011065,37,1.47
Bartonella henselae Houston-1,Bartonella henselae str. Houston-1,GCA_000046705,37,3
Bartonella quintana Toulouse,Bartonella quintana str. Toulouse,GCA_000046685,37,3
Bdellovibrio bacteriovorus,Bdellovibrio bacteriovorus,GCA_000691605,30,1.4
Bifidobacterium longum NCC2705 ,Bifidobacterium longum NCC2705,GCA_000007525,37,1.51
Bordetella bronchiseptica RB50,Bordetella bronchiseptica RB50,GCA_000195675,37,1.42
Bordetella pertussis 12822,Bordetella parapertussis 12822,GCA_000195695,37,3.8
Borrelia burgdorferi,Borrelia burgdorferi,GCA_000769595,30,4
Borrelia garinii PBi,Borrelia garinii PBi,GCA_000196215,37,4
Bradyrhizobium japonicum USDA110,Bradyrhizobium japonicum USDA 6,GCA_000284375,26,20
Brucella abortus biovar1 9-941,Brucella abortus bv. 1 str. 9-941,GCA_000008145,37,2
Brucella melitensis 16M,Brucella melitensis bv. 1 str. 16M,GCA_000740415,37,2
Brucella suis 1330 ,Brucella suis 1330,GCA_000223195,37,2
Buchnera aphidicola Baizongia pistaciae,Buchnera aphidicola str. Bp (Baizongia pistaciae),GCA_000007725,22,36
